sku,category,reviews_count,,sku,category,average_rating,,,
H05679,Shoes,454,,H05679,Shoes,4.7,,,
CK1866,Accessories,45,,CK1866,Accessories,4.8,,,
GY5806,Shoes,2540,,GY5806,Shoes,4.7,,,
GZ7924,Shoes,3938,,GZ7924,Shoes,4.6,,,
FX5925,Shoes,454,,FX5925,Shoes,4.7,,,
FX9734,Shoes,204,,FX9734,Shoes,4.5,,,
H36277,Clothing,3,,H36277,Clothing,3.7,,,
GL3856,Clothing,25,,GL3856,Clothing,4,,,
H02029,Shoes,165,,H02029,Shoes,4.8,,,
FX9741,Shoes,125,,FX9741,Shoes,4.5,,,
H06577,Shoes,2540,,H06577,Shoes,4.7,,,
FX7030,Shoes,2540,,FX7030,Shoes,4.7,,,
GY5808,Shoes,2540,,GY5808,Shoes,4.7,,,
GY2630,Shoes,2540,,GY2630,Shoes,4.7,,,
FX4694,Shoes,96,,FX4694,Shoes,4.5,,,
FX7031,Shoes,2540,,FX7031,Shoes,4.7,,,
H01232,Shoes,1599,,H01232,Shoes,4.7,,,
H02682,Shoes,1599,,H02682,Shoes,4.7,,,
FW9310,Shoes,92,,FW9310,Shoes,4.7,,,
H34726,Clothing,94,,H34726,Clothing,4.7,,,
H05681,Shoes,454,,H05681,Shoes,4.7,,,
GZ8856,Shoes,1599,,GZ8856,Shoes,4.7,,,
H00136,Shoes,454,,H00136,Shoes,4.7,,,
H04578,Shoes,843,,H04578,Shoes,4.6,,,
GZ8144,Shoes,454,,GZ8144,Shoes,4.7,,,
FX9742,Shoes,125,,FX9742,Shoes,4.5,,,
GX5143,Shoes,125,,GX5143,Shoes,4.5,,,
GY5807,Shoes,2540,,GY5807,Shoes,4.7,,,
FX4183,Shoes,31,,FX4183,Shoes,4.7,,,
FX5080,Shoes,512,,FX5080,Shoes,4.6,,,
S23674,Shoes,108,,S23674,Shoes,4.5,,,
H00589,Shoes,808,,H00589,Shoes,4.5,,,
FY1119,Shoes,260,,FY1119,Shoes,4.3,,,
FY8169,Shoes,165,,FY8169,Shoes,4.8,,,
FZ2594,Shoes,31,,FZ2594,Shoes,4.7,,,
FZ2592,Shoes,29,,FZ2592,Shoes,4.8,,,
S23672,Shoes,108,,S23672,Shoes,4.5,,,
FX4934,Shoes,25,,FX4934,Shoes,4.9,,,
FW6514,Shoes,214,,FW6514,Shoes,4.5,,,
FX5079,Shoes,512,,FX5079,Shoes,4.6,,,
Q47136,Shoes,85,,Q47136,Shoes,4.8,,,
GZ5256,Shoes,602,,GZ5256,Shoes,4.6,,,
FX1482,Shoes,17,,FX1482,Shoes,4.5,,,
G55781,Shoes,251,,G55781,Shoes,4.1,,,
H05335,Shoes,515,,H05335,Shoes,3.9,,,
H05328,Shoes,515,,H05328,Shoes,3.9,,,
H00416,Shoes,515,,H00416,Shoes,3.9,,,
GZ7985,Shoes,602,,GZ7985,Shoes,4.6,,,
GW8625,Shoes,77,,GW8625,Shoes,4.2,,,
FX6865,Shoes,77,,FX6865,Shoes,4.2,,,
FZ3208,Shoes,181,,FZ3208,Shoes,4.1,,,
H02951,Shoes,314,,H02951,Shoes,4.5,,,
GX6117,Shoes,515,,GX6117,Shoes,3.9,,,
GY0638,Shoes,1866,,GY0638,Shoes,4.8,,,
FY3631,Shoes,515,,FY3631,Shoes,3.9,,,
GZ7017,Shoes,41,,GZ7017,Shoes,4.5,,,
FX5812,Shoes,251,,FX5812,Shoes,4.1,,,
